number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.7846092482865338,0.7846092482865338,0.8240307252678476,0.8962499491857584,0.7183611861013937,0.8868494315392276,0.09922841243797685,1,"{'penalty': 'elasticnet', 'C': 10.961953853589144, 'max_iter': 1404, 'tol': 0.0009142862583940694, 'l1_ratio': 0.8969797094609763}"
1,0.7846873768996786,0.7846873768996786,0.8241511640355429,0.8962503013595672,0.7184459287687158,0.8868617589269027,0.0990544168402296,2,"{'penalty': 'elasticnet', 'C': 0.11572939808079542, 'max_iter': 1013, 'tol': 3.754825224252053e-05, 'l1_ratio': 0.2534533224741313}"
2,0.7841851139409233,0.7841851139409233,0.8236570562706392,0.8960740588572568,0.7178412990015383,0.8865874806413303,0.09919304073071948,3,"{'penalty': 'elasticnet', 'C': 0.029042340925683363, 'max_iter': 1139, 'tol': 9.626607906023257e-05, 'l1_ratio': 0.1932615591227217}"
3,0.784637659383165,0.784637659383165,0.8240657245678616,0.8962715544697337,0.718389225045569,0.886858676730955,0.09921530993185082,4,"{'penalty': 'elasticnet', 'C': 1.3125081718013636, 'max_iter': 958, 'tol': 0.0006338479897030866, 'l1_ratio': 0.8967717703205346}"
4,0.7823506094294812,0.7823506094294812,0.821918414572885,0.8953902432023262,0.7155315057632244,0.8856167200387116,0.09946700957434781,5,"{'penalty': 'l2', 'C': 0.008977718889966357, 'max_iter': 747, 'tol': 0.0006808412307480552}"
5,0.7847163505884159,0.7847163505884159,0.8241799869884955,0.8962684430586272,0.7184822552273576,0.8868740860011641,0.09905148879638094,6,"{'penalty': 'l2', 'C': 0.1865916415579376, 'max_iter': 842, 'tol': 0.00010355558521540877}"
6,0.7844716191974982,0.7844716191974982,0.8239411682354588,0.896172031002394,0.7181634547509569,0.8867600599944033,0.09911638720179243,7,"{'penalty': 'l2', 'C': 0.0563233248198705, 'max_iter': 1031, 'tol': 3.200506138338403e-05}"
7,0.7846130432638474,0.7846130432638474,0.8240369016149088,0.8962527584227815,0.7183664066741123,0.8868463497136779,0.09922725795519904,8,"{'penalty': 'elasticnet', 'C': 1.0139462008554567, 'max_iter': 1321, 'tol': 0.0008345700814812732, 'l1_ratio': 0.9585037006472223}"
8,0.7847189760579752,0.7847189760579752,0.8241758694237881,0.8962730190373488,0.7184906407152211,0.8868771677697294,0.09907426648437397,9,"{'penalty': 'l2', 'C': 0.18907023825792352, 'max_iter': 674, 'tol': 2.2393831699310015e-05}"
9,0.784637663133704,0.784637663133704,0.8240667539590385,0.8962654012385961,0.7183920803268905,0.8868555949908817,0.09920980509922293,10,"{'penalty': 'l1', 'C': 0.23849189556804434, 'max_iter': 519, 'tol': 0.0005727291879979165}"
10,0.7769890310346689,0.7769890310346689,0.8167107246090373,0.8930875836243044,0.7089317843889841,0.8827044380029184,0.10064284111926444,11,"{'penalty': 'l1', 'C': 0.0014084749143207407, 'max_iter': 506, 'tol': 0.0003133637180687822}"
11,0.7829925021515333,0.7829925021515333,0.8225585814459423,0.895454629508678,0.7164428402044293,0.8858139643673266,0.09933646536104325,12,"{'penalty': 'l2', 'C': 7.294782331758249, 'max_iter': 795, 'tol': 0.0002816470910965011}"
12,0.7829998400318362,0.7829998400318362,0.8225709341368859,0.8954538988563403,0.7164521987592414,0.8858108825987613,0.09932366261403416,13,"{'penalty': 'l2', 'C': 64.0131592137756, 'max_iter': 731, 'tol': 0.00026549290184752205}"
13,0.7829369881278435,0.7829369881278435,0.8224906416091944,0.895457142045351,0.7163659878992776,0.8858139643103423,0.09936446315885318,14,"{'penalty': 'l2', 'C': 0.7525445891936955, 'max_iter': 665, 'tol': 0.0004129936528604884}"
14,0.7820136955306519,0.7820136955306519,0.8216218346262002,0.8951095598461061,0.7152569639327644,0.8852684892513332,0.09948567142018933,15,"{'penalty': 'l2', 'C': 0.021780726609894805, 'max_iter': 878, 'tol': 0.0001570167344641457}"
15,0.7786399597046451,0.7786399597046451,0.8184883647970113,0.8938371966227342,0.7110248452724882,0.8833855227030473,0.09978148028447272,16,"{'penalty': 'l2', 'C': 0.004620491569610156, 'max_iter': 614, 'tol': 0.0001773778980996503}"
16,0.7828379060053416,0.7828379060053416,0.8223928493679168,0.8954310841481224,0.7162546238502534,0.8857523287110981,0.09939488918483742,17,"{'penalty': 'l2', 'C': 0.21725689583626995, 'max_iter': 1145, 'tol': 0.00042744612931262707}"
17,0.7844873241046103,0.7844873241046103,0.8239442564089895,0.8961359919575335,0.7182278551708547,0.8867384877284145,0.09915658191274287,18,"{'penalty': 'l1', 'C': 3.917526118198147, 'max_iter': 858, 'tol': 0.00019283686588412565}"
18,0.7841812669382177,0.7841812669382177,0.8236508799235781,0.896064686143664,0.7178557536324375,0.8865659080904198,0.0992213257491098,19,"{'penalty': 'l2', 'C': 0.08976583226617017, 'max_iter': 632, 'tol': 0.0003760816492941084}"
19,0.7844754093548979,0.7844754093548979,0.8239256142194952,0.896119388729594,0.7182088228275925,0.8867446614372447,0.09917167574109147,20,"{'penalty': 'l2', 'C': 0.6401959484440073, 'max_iter': 890, 'tol': 0.00011266778881577637}"
20,0.7843373648910975,0.7843373648910975,0.8237794406850937,0.8961134433855295,0.7180711139077727,0.8866398813345152,0.09929024196757219,21,"{'penalty': 'l1', 'C': 32.55929522892021, 'max_iter': 1113, 'tol': 0.0005139230768133419}"
