number,value,f1_score,accuracy,roc_auc,precision,recall,f1_std,cv_iteration,params
0,0.8603240349831736,0.8603240349831736,0.896470011776235,0.9715998922026644,0.7989991127780112,0.9366078470081624,0.04146445122590208,1,"{'n_estimators': 119, 'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
1,0.7787185589516415,0.7787185589516415,0.8296913473495234,0.9260219303163079,0.703901325649039,0.8791696955302847,0.04645166086880962,2,"{'n_estimators': 397, 'max_depth': 7, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}"
2,0.9779732330557049,0.9779732330557049,0.9849358895175038,0.9995360157193761,0.9614156448313325,0.9953835012867027,0.01050019979034067,3,"{'n_estimators': 305, 'max_depth': 23, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}"
3,0.8511681227564836,0.8511681227564836,0.8907373323121773,0.9595847660176681,0.7958568742606799,0.9190879248743569,0.04212304989288653,4,"{'n_estimators': 492, 'max_depth': 9, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': None}"
4,0.9774998471953364,0.9774998471953364,0.9845951610379556,0.9994996564807672,0.9609054781532439,0.9949982786489663,0.01157842645493068,5,"{'n_estimators': 412, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
5,0.9808680524249894,0.9808680524249894,0.9869699664830233,0.9996399998454506,0.9668580504243144,0.9954790365111187,0.008547331534658337,6,"{'n_estimators': 300, 'max_depth': 27, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt'}"
6,0.8606865703014789,0.8606865703014789,0.896855004076389,0.9716702105745302,0.7995620216814481,0.9365369661317143,0.04071655863326745,7,"{'n_estimators': 151, 'max_depth': 10, 'min_samples_split': 6, 'min_samples_leaf': 5, 'max_features': 'sqrt'}"
7,0.7939984776113441,0.7939984776113441,0.8443107608436066,0.9275301015770271,0.732886940458701,0.8751849455541875,0.053285523475543724,8,"{'n_estimators': 476, 'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': None}"
8,0.7372914277683305,0.7372914277683305,0.7963184853949979,0.8922028900770439,0.6646525615184969,0.8379324597523571,0.045667928464395026,9,"{'n_estimators': 337, 'max_depth': 5, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'log2'}"
9,0.8052227216613338,0.8052227216613338,0.8514856173464765,0.9428425190545666,0.7331090149855163,0.9000641356662564,0.047002105648431956,10,"{'n_estimators': 409, 'max_depth': 8, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'sqrt'}"
10,0.9826858205949014,0.9826858205949014,0.9882371470217656,0.9996842693276605,0.9702867977038024,0.9955529990991477,0.007432111945676489,11,"{'n_estimators': 212, 'max_depth': 28, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
11,0.982579434620081,0.982579434620081,0.9881630222802271,0.9996783913528647,0.9701173844129269,0.9955160108672932,0.00755879532787646,12,"{'n_estimators': 219, 'max_depth': 29, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
12,0.9855884896182512,0.9855884896182512,0.9902465112620268,0.9997500036965047,0.9758031017049421,0.9956670180113618,0.005729884582991964,13,"{'n_estimators': 205, 'max_depth': 29, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
13,0.9828243827015735,0.9828243827015735,0.9883308132773011,0.999676206686452,0.9706985770747286,0.9954143121342388,0.0077242673930689575,14,"{'n_estimators': 215, 'max_depth': 24, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
14,0.9821827075808512,0.9821827075808512,0.9878840574175237,0.9996557776317951,0.9694675789516357,0.9954050672559251,0.008179843351661052,15,"{'n_estimators': 211, 'max_depth': 23, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
15,0.9645503455055171,0.9645503455055171,0.9755632652278999,0.9977684365685137,0.943947933075087,0.9866836358037724,0.016431409234357566,16,"{'n_estimators': 260, 'max_depth': 24, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': None}"
16,0.9754918274305172,0.9754918274305172,0.9831838547352886,0.9993740969400969,0.9575772133295163,0.9944651246238815,0.012715495066071498,17,"{'n_estimators': 161, 'max_depth': 18, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
17,0.9487958153966991,0.9487958153966991,0.9640433661914997,0.9966344016195544,0.9169609880798646,0.9842089726256323,0.024176601131262358,18,"{'n_estimators': 258, 'max_depth': 14, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
18,0.9650430145368832,0.9650430145368832,0.9759143052433069,0.9979348485313196,0.9446168709817805,0.9869579187905506,0.01612333638569815,19,"{'n_estimators': 168, 'max_depth': 25, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': None}"
19,0.9800348478872304,0.9800348478872304,0.9863873218770313,0.9995524694642276,0.9658139268471415,0.9949089008073754,0.009605284994593002,20,"{'n_estimators': 100, 'max_depth': 21, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'log2'}"
20,0.9845023039896371,0.9845023039896371,0.9894960846808164,0.9997310013425348,0.9737957519691814,0.9955622373387891,0.006490713985949949,21,"{'n_estimators': 255, 'max_depth': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
